chrom1	start1	end1	chrom2	start2	end2	count	balanced
1	156752000	156753000	1	156768000	156769000	1	0.0868165
1	156752000	156753000	1	156810000	156811000	1	
1	156753000	156754000	1	156753000	156754000	2	0.27498
1	156753000	156754000	1	156793000	156794000	1	0.105327
1	156754000	156755000	1	156754000	156755000	1	0.0969797
1	156754000	156755000	1	156842000	156843000	1	
1	156754000	156755000	1	156866000	156867000	1	0.0938252
1	156755000	156756000	1	156755000	156756000	1	0.163136
1	156756000	156757000	1	156781000	156782000	1	0.141585
1	156756000	156757000	1	156881000	156882000	1	0.136989
1	156758000	156759000	1	156811000	156812000	1	0.0630923
1	156758000	156759000	1	156818000	156819000	1	0.12421
1	156759000	156760000	1	156810000	156811000	1	
1	156761000	156762000	1	156762000	156763000	1	
1	156761000	156762000	1	156782000	156783000	1	
1	156762000	156763000	1	156762000	156763000	1	0.0133065
1	156762000	156763000	1	156764000	156765000	1	0.0295168
1	156762000	156763000	1	156768000	156769000	1	0.0339974
1	156762000	156763000	1	156778000	156779000	1	0.0201387
1	156762000	156763000	1	156793000	156794000	1	0.032767
1	156762000	156763000	1	156798000	156799000	1	
1	156763000	156764000	1	156765000	156766000	1	0.103206
1	156763000	156764000	1	156799000	156800000	1	0.0817086
1	156764000	156765000	1	156783000	156784000	1	0.0738368
1	156764000	156765000	1	156835000	156836000	1	0.0633448
1	156764000	156765000	1	156850000	156851000	1	0.07899
1	156765000	156766000	1	156765000	156766000	1	0.0846906
1	156765000	156766000	1	156766000	156767000	1	
1	156765000	156766000	1	156850000	156851000	1	0.0898362
1	156767000	156768000	1	156768000	156769000	1	
1	156767000	156768000	1	156833000	156834000	1	
1	156768000	156769000	1	156768000	156769000	1	0.0868618
1	156768000	156769000	1	156864000	156865000	1	0.0936427
1	156769000	156770000	1	156775000	156776000	1	
1	156769000	156770000	1	156778000	156779000	1	0.0899289
1	156769000	156770000	1	156815000	156816000	1	0.0749611
1	156770000	156771000	1	156770000	156771000	1	0.113147
1	156770000	156771000	1	156771000	156772000	1	0.0908092
1	156771000	156772000	1	156773000	156774000	1	0.100632
1	156771000	156772000	1	156830000	156831000	1	0.0635654
1	156771000	156772000	1	156837000	156838000	1	0.0640887
1	156772000	156773000	1	156779000	156780000	1	
1	156773000	156774000	1	156773000	156774000	1	0.13895
1	156773000	156774000	1	156786000	156787000	1	0.10094
1	156774000	156775000	1	156774000	156775000	1	
1	156774000	156775000	1	156781000	156782000	1	
1	156775000	156776000	1	156775000	156776000	2	
1	156776000	156777000	1	156778000	156779000	1	0.0554404
1	156776000	156777000	1	156852000	156853000	1	
1	156776000	156777000	1	156869000	156870000	1	0.057404
1	156776000	156777000	1	156883000	156884000	1	
1	156777000	156778000	1	156778000	156779000	2	0.0849459
1	156777000	156778000	1	156851000	156852000	1	0.0526744
1	156778000	156779000	1	156779000	156780000	1	0.0717811
1	156778000	156779000	1	156811000	156812000	1	0.0244265
1	156778000	156779000	1	156844000	156845000	1	0.10931
1	156780000	156781000	1	156780000	156781000	1	0.120499
1	156780000	156781000	1	156783000	156784000	1	0.100167
1	156780000	156781000	1	156786000	156787000	1	0.0939994
1	156781000	156782000	1	156781000	156782000	1	0.179979
1	156782000	156783000	1	156782000	156783000	2	0.37704
1	156782000	156783000	1	156866000	156867000	1	0.130815
1	156782000	156783000	1	156884000	156885000	1	0.143002
1	156783000	156784000	1	156783000	156784000	1	0.0832664
1	156784000	156785000	1	156784000	156785000	2	0.0637946
1	156784000	156785000	1	156785000	156786000	1	0.0518299
1	156784000	156785000	1	156838000	156839000	1	0.0572652
1	156784000	156785000	1	156848000	156849000	1	0.0914919
1	156784000	156785000	1	156882000	156883000	1	
1	156785000	156786000	1	156785000	156786000	1	0.0842182
1	156785000	156786000	1	156786000	156787000	2	0.157169
1	156785000	156786000	1	156790000	156791000	1	0.0853047
1	156786000	156787000	1	156786000	156787000	1	0.0733273
